Date,Close
10/27/15,66.8
10/28/15,67.59
10/29/15,67.31
10/30/15,65.95
11/2/15,65.75
11/3/15,66.08
11/4/15,65.62
11/5/15,65.55
11/6/15,65.45
11/9/15,64.99
11/10/15,65.05
11/11/15,64.24
11/12/15,63.72
11/13/15,64.15
11/16/15,65.02
11/17/15,65.73
11/18/15,67.61
11/19/15,66.94
11/20/15,67.82
11/23/15,67.99
11/24/15,67.82
11/25/15,68.08
11/27/15,67.85
11/30/15,67.01
12/1/15,68.26
12/2/15,67.78
12/3/15,66.45
12/4/15,69.11
12/7/15,68.84
12/8/15,69.4
12/9/15,68.56
12/10/15,68.94
12/11/15,67.62
12/14/15,68.64
12/15/15,70.22
12/16/15,70.71
12/17/15,69.28
12/18/15,67.64
12/21/15,68.04
12/22/15,68.31
12/23/15,68.99
12/24/15,68.97
12/28/15,69.17
12/29/15,69.74
12/30/15,69.52
12/31/15,68.79
1/4/16,67.03
1/5/16,68.35
1/6/16,67.15
1/7/16,65.29
1/8/16,63.63
1/11/16,62.98
1/12/16,63.44
1/13/16,61.28
1/14/16,63.51
1/15/16,62.78
1/19/16,63.21
1/20/16,63.55
1/21/16,63.13
1/22/16,64.4
1/25/16,62.92
1/26/16,62.69
1/27/16,61.71
1/28/16,61.16
1/29/16,62.16
2/1/16,60.82
2/2/16,58.87
2/3/16,60.12
2/4/16,59.7
2/5/16,59.63
2/8/16,60.72
2/9/16,61.02
2/10/16,61.08
2/11/16,59.52
2/12/16,60.2
2/16/16,62.18
2/17/16,63.92
2/18/16,63.32
2/19/16,63.8
2/22/16,63.7
2/23/16,62.07
2/24/16,62.23
2/25/16,63.03
2/26/16,62.25
2/29/16,61.93
3/1/16,64.22
3/2/16,64.9
3/3/16,65
3/4/16,64.71
3/7/16,66.49
3/8/16,66.26
3/9/16,65.54
3/10/16,64.94
3/11/16,64.96
3/14/16,64.12
3/15/16,63.68
3/16/16,62.64
3/17/16,61.47
3/18/16,62.83
3/21/16,62.7
3/22/16,62.8
3/23/16,62.34
3/24/16,62.52
3/28/16,62.77
3/29/16,64.19
3/30/16,63.44
3/31/16,63.88
4/1/16,64.91
4/4/16,65.97
4/5/16,65.76
4/6/16,66.54
4/7/16,66.28
4/8/16,66.07
4/11/16,65.98
4/12/16,66.84
4/13/16,67.57
4/14/16,67.87
4/15/16,68.05
4/18/16,68.86
4/19/16,68.91
4/20/16,69.23
4/21/16,70.16
4/22/16,70.68
4/25/16,70.63
4/26/16,70.86
4/27/16,70.23
4/28/16,72.26
4/29/16,72.18
5/2/16,71.96
5/3/16,71.13
5/4/16,70.78
5/5/16,71.15
5/6/16,71.22
5/9/16,71.34
5/10/16,71.53
5/11/16,70.81
5/12/16,71.28
5/13/16,71.18
5/16/16,72.83
5/17/16,71.21
5/18/16,71.09
5/19/16,70.33
5/20/16,70.77
5/23/16,70.4
5/24/16,71.23
5/25/16,70.69
5/26/16,70.73
5/27/16,71.31
5/31/16,71.7
6/1/16,71.87
6/2/16,73
6/3/16,72.89
6/6/16,74.29
6/7/16,73.91
6/8/16,73.41
6/9/16,72.73
6/10/16,72.65
6/13/16,72.22
6/14/16,73.1
6/15/16,72.57
6/16/16,71.73
6/17/16,70.67
6/20/16,70.96
6/21/16,71.25
6/22/16,72.31
6/23/16,72.64
6/24/16,70.61
6/27/16,70.32
6/28/16,72.01
6/29/16,73
6/30/16,73.55
7/1/16,73.78
7/5/16,73.78
7/6/16,73.86
7/7/16,74.08
7/8/16,75.28
7/11/16,75.39
7/12/16,76.2
7/13/16,76.58
7/14/16,76.77
7/15/16,76
7/18/16,75.96
7/19/16,75.47
7/20/16,75.72
7/21/16,75.5
7/22/16,75.68
7/25/16,75.56
7/26/16,75.06
7/27/16,76.47
7/28/16,74.66
7/29/16,74.81
8/1/16,76.19
8/2/16,75.05
8/3/16,74.8
8/4/16,75.32
8/5/16,63.28
8/8/16,60.3
8/9/16,61.61
8/10/16,60.58
8/11/16,60.97
8/12/16,60.63
